title,year,genre,plot,poster,rating,trailor
Year of the Gun,1991,"Action, Thriller, Romance","In this thriller, American novelist David Raybourne (Andrew McCarthy) accidentally becomes entangled in the Red Brigade's terrorist plan to kidnap Italian Premier Aldo Moro during a research trip to Rome. As the terrorists attempt to kill David, he and his photojournalist friend (Sharon Stone) must struggle to stay alive.",https://image.tmdb.org/t/p/w500//bdL6xkhbWokFJIp6ENFF6qbtH8T.jpg,4.8,https://www.youtube.com/embed/1TIbmB0hY7k
Sharkansas Women's Prison Massacre,2015,"TV Movie, Science Fiction, Action, Horror",,https://image.tmdb.org/t/p/w500//kB7jXKuObdVq83JjAC9prIa2pM1.jpg,5.211,https://www.youtube.com/embed/3KP5Iw1cVf8
Snowflake,2017,"Action, Fantasy, Comedy, Crime, Thriller","Hunting down the murderer of their families in an anarchic Berlin of the near future, the outlaws Tan and Javid find themselves trapped in the wicked fairytale of a mysterious screenplay that entangles them in a vicious circle of revenge - apparently all written by a clueless dentist.",https://image.tmdb.org/t/p/w500//hgPfBH12qth3xaz5r3zQhH1c8oS.jpg,6.6,https://www.youtube.com/embed/_5SZ7aiw6Zc
Miami Magma,2011,"TV Movie, Action, Science Fiction","Antoinette Vitrini, a volcanologist, confirms her theory of a long-dormant underground volcano after an offshore-drilling rig bursts into flames. Now, she must stop catastrophic amounts of magma from pumping out right under Miami, Florida.",https://image.tmdb.org/t/p/w500//lue9F1zUxIwX6TNi4LULA9hMYNl.jpg,6.062,https://www.youtube.com/embed/byiOtNScdBA
Cutie Honey,2004,Action,,https://image.tmdb.org/t/p/w500//6WoyOCZUuCovSO6Q4nj1C4cmNyz.jpg,6.4,https://www.youtube.com/embed/KnYteHOmTTI
Dofus - Book I: Julith,2016,"Animation, Action, Adventure, Fantasy, Comedy","The strange little guy in the blue hood is well known to Krosmoz. His name is Joris and he's proposing to take you on a fantastic adventure. Our hero is leading a happy life in his magic shop in the city of Bonta. But one day, when he seeks out his idol, a Gobbowl superstar, everything changes for the worst as Julith, the vengeful witch, is back in town!",https://image.tmdb.org/t/p/w500//36E5uUU0Hh1DUwC2A8AF486O1pv.jpg,7.4,https://www.youtube.com/embed/L_3JpxU8khs
Kadaikutty Singam,2018,"Romance, Comedy, Family, Action","Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united despite him being misunderstood by many.",https://image.tmdb.org/t/p/w500//iNeOevqxOrqwWJUJS2EIuufVf0B.jpg,7.156,https://www.youtube.com/embed/v5YO-Zred7w
Grilled,2006,"Drama, Action, Comedy",,https://image.tmdb.org/t/p/w500//3xS38WcGrzTvs5lO3uhKo5EiJxj.jpg,5.009,https://www.youtube.com/embed/iEiKP4ZGOJk
The Last Victim,2022,"Mystery, Thriller, Crime, Western, Action","Set in the American Southwest, Sheriff Hickey tries to solve the worst case he has seen in his small town, likely caused by a violent local gang led by a fearsome criminal.",https://image.tmdb.org/t/p/w500//lkMotc2mM4VuJmMPWUkZ8niEFbP.jpg,5.3,https://www.youtube.com/embed/QT-Yx1_m0vY
Baragaki: Unbroken Samurai,2021,"History, Drama, Action","Set in the 19th century, ""Moeyo Ken"" follows the life of Toshizo Hijikata. He was the vice-commander of the Shinsengumi and fought against the Meiji Restoration.",https://image.tmdb.org/t/p/w500//c3Ao5AJN9T5egSHfLr7b262oV7L.jpg,6.1,https://www.youtube.com/embed/MTHu8AzyUfQ
Nemesis 3: Time Lapse,1996,"Action, Thriller, Science Fiction",,https://image.tmdb.org/t/p/w500//ghGwIJQpleJ16IfUZKmUJFUf46g.jpg,3.3,https://www.youtube.com/embed/None
Operation Seawolf,2022,"War, Thriller, Action, Adventure, Mystery, Drama",,https://image.tmdb.org/t/p/w500//eqm5EAyC9hJCN5qutuW4Ka1xYbU.jpg,5.789,https://www.youtube.com/embed/d0EWwDcbtoM
Shogun's Ninja,1980,"Action, Adventure","In the middle of the 16th century, Hideyoshi, a power hungry warlord sets out to destroy the Momochi clan. He sends his war commander in search of the clan's hidden gold only to find that two daggers are the key to the hiding place of the treasured gold. Spanning decades, the quest for the missing daggers takes Shiranui through war and ancient tradition.",https://image.tmdb.org/t/p/w500//qaJWF2bFN7VYZKmTephsSYIbd8d.jpg,5.9,https://www.youtube.com/embed/None
Death Hunt,2022,"Thriller, Action","Set in the late 1990s, once a year a group of men choose to hunt human targets on a remote island. A developer and his mistress retreat to a getaway cottage where they are taken hostage, brought to the island, and hunted for sport.",https://image.tmdb.org/t/p/w500//iG3xVCAMsyg4ygDFvjsGnStVQVq.jpg,3.0,https://www.youtube.com/embed/wvjhiWunIms
Outlaw Justice,1999,"Action, Western",,https://image.tmdb.org/t/p/w500//esOWmwwnoJd8NdtTFphffeFgr3T.jpg,7.2,https://www.youtube.com/embed/dHc3mwHsK2w
Ishaqzaade,2012,"Drama, Action, Romance","While fighting for the political supremacy of their respective families, a Hindu man and a Muslim woman share a forbidden romance.",https://image.tmdb.org/t/p/w500//vbjG5AwV0uBFxTNqiJbr2rh4ohV.jpg,6.443,https://www.youtube.com/embed/None
Helios,2015,"Crime, Action",,https://image.tmdb.org/t/p/w500//iSPiiorStTUgOJjxhCi3Q8csA7c.jpg,5.188,https://www.youtube.com/embed/wOR0gREF894
